Gene	P-value
U6	0.09795373387377972
NOC2L	0.017845745327221305
PLEKHN1	0.044937662514102104
C1orf159	0.020395244535333337
SDF4	0.03049069069441757
SCNN1D	0.09938285402403417
ACAP3	0.007930122754311568
INTS11	0.007029529476782366
RP5-890O3.9	0.029602247024818246
DVL1	0.015531355412368183
ATAD3B	0.041750982081182886
RP11-345P4.9	0.05746459255494821
MIB2	0.014658386836913059
MMP23B	0.04442523115140682
SLC35E2B	0.06773357676631303
RP5-892K4.1	0.08181250350423634
PEX10	0.03151031767462599
PLCH2	0.015204393840536061
RP3-395M20.2	0.05609205633003898
PANK4	0.005072327481299181
RP3-395M20.12	0.0041558662025757385
TNFRSF14	0.0038247196520359568
RP3-395M20.9	0.03773559623102713
FAM213B	4.089598432955537e-07
MMEL1	5.099179115847711e-10
RP5-1092A11.2	0.08170229199726774
CEP104	0.0008994681890583913
C1orf174	0.003977280583107566
AJAP1	0.01183964305683735
RPL22	0.08615281413417542
ESPN	0.003962376942029689
TNFRSF25	0.06804166687795274
CAMTA1	0.0032732807660599285
PER3	0.0015541920420786089
RP3-467L1.4	0.035100862288767694
RP3-477M7.6	0.06042678925214979
GPR157	0.054571122937061754
KIF1B	0.00953935409003952
PEX14	0.02347833765640596
CASZ1	0.03579698348807138
RP4-734G22.3	0.02203819161513065
C1orf167	0.06266397563350427
TNFRSF1B	0.037821841886467644
RP3-467K16.4	0.08700105053969331
PLEKHM2	0.01578327044990652
ZBTB17	0.0011207429993089163
ANO7L1	0.018905898004727213
SZRD1	0.05896404023117597
RP11-430L17.1	0.09201498112563027
EIF1AXP1	0.0015008330220518866
MST1L	0.042319799732385276
CROCC	0.08657723743813303
ATP13A2	0.0824132501245257
ARHGEF10L	0.041082890535399576
NBL1	0.045184856580694335
DDOST	0.002692902697866366
LDLRAD2	0.017498354141290955
ELOA	0.017105717932874364
NIPAL3	0.06703279611242896
RUNX3	0.041965252802640296
RP1-187B23.1	0.055748498762807776
MTFR1L	0.03371215423795281
SH3BGRL3	0.0871932366459611
UBXN11	0.004783726765501488
ARID1A	0.04432784454375725
SYTL1	0.09682672446842883
SMPDL3B	0.07538346524243893
RP5-1053E7.2	0.09570325526473586
TMEM39B	0.0009040523713789338
EIF3I	0.010686328213483766
MARCKSL1	0.011151315491053892
TRIM62	0.013170454207844321
RP11-415J8.3	0.029777965419829976
NCDN	0.02316477046369775
TFAP2E	0.09795373387377972
PSMB2	0.01041711429604415
AGO4	0.008761462956979063
AGO3	0.06776409916753708
PPIEL	0.08586762625062073
PABPC4	0.009556991780612074
PPT1	0.02801204701228561
RP1-39G22.7	0.024946445477219484
RP1-228H13.2	0.02956948299397316
RP1-228H13.5	0.023354835891861887
ZNF684	0.06209844775918773
NFYC-AS1	0.059104832086468606
YBX1	0.003977280583107566
P3H1	0.012115961645549787
IPO13	0.09137891468091221
RP5-1198O20.4	0.015685847534084592
DMAP1	0.03061079157803307
RNF220	0.02215874489230107
SNORD46	0.054426157921235375
PLK3	0.04489292206422381
HECTD3	0.029749705861991688
GPBP1L1	0.03736889612047895
LRRC41	0.005184419715085812
RP11-183G22.1	0.051077665988070134
OSBPL9	0.04127582507082616
CC2D1B	0.0129699990509597
FAM159A	0.031941378709839714
MRPL37	0.029749705861991688
SSBP3	0.08895509200058235
RP1-158P9.1	0.04259459241300047
JUN	0.08700105053969331
RP4-794H19.1	0.060246006668888234
USP1	0.06913104669303881
ITGB3BP	0.07699333909524732
CACHD1	0.0431722643716032
INSL5	0.0979950708160856
MIER1	0.05756076422499854
SERBP1	0.019792505130729346
ACADM	0.08166984291304177
USP33	0.054122072294532544
NEXN-AS1	0.08955905455148107
HNRNPA1P64	0.009106812584248253
CTBS	0.03080327250960537
ODF2L	0.005156050438214015
RP4-612B15.3	0.06882160289956227
SH3GLB1	0.0129699990509597
SELENOF	0.06369196491394728
HS2ST1	0.0035392527607687203
PTGES3P1	0.038856687758368876
GBP2	0.07842234584584792
KIAA1107	0.08664656136502724
CCDC18	0.0027649869349203014
SLC44A3-AS1	0.03468856890486556
PTBP2	0.08330956485051969
RP11-421L21.3	0.019536289362308643
AMY2B	0.04577676009993923
VAV3	0.027526996186563256
NBPF6	0.06643724457126142
STXBP3	0.07656112335086904
GPSM2	0.0809593165701941
KIAA1324	0.06525505509897396
SARS	0.004914300666318758
ATXN7L2	0.06611560242717396
AMPD2	0.0029026921053179324
RP5-1160K1.6	0.008191948863804182
GSTM4	0.06289083106493458
RP11-195M16.3	0.00953935409003952
KCNC4	0.0702039914875276
RP11-96K19.2	0.05180097756717935
LRIF1	0.028971579564378763
RAP1A	0.06301762343818446
WNT2B	0.004682045625493
ST7L	0.00018532922980820271
RHOC	0.07030210119687175
MAGI3	0.026060669435512884
PHTF1	0.014645072865260265
RP4-730K3.3	0.03327213446702334
RSBN1	0.014058178990633134
RP4-591B8.3	0.025261167807001092
SLC22A15	0.03782261658956301
MAB21L3	0.008451455012688089
WDR3	0.09747461873936943
WARS2	0.07084718463915622
RP5-1042I8.7	0.051498568737245384
NOTCH2	0.059339782696104564
SEC22B	0.014296690595218004
CH17-118O6.3	0.07671385448994468
FCGR1B	0.0478973395543733
RP11-439A17.9	0.004599221234611047
CH17-13I23.3	0.05232072312064615
FCGR1CP	0.006109840386820479
RP5-998N21.4	0.004781537697413851
RP11-14N7.2	0.041265434070612436
RP11-495P10.10	0.023444749324992332
RP11-196G18.3	0.0006979174683973372
SF3B4	0.047502418784829456
MTMR11	0.03246875183611564
PLEKHO1	0.03224839329221489
APH1A	0.0023074277727982337
MCL1	0.08234854748387639
PRUNE1	0.07034648956032441
MLLT11	0.054571122937061754
PI4KB	0.018818913409799815
RP11-126K1.6	0.09645116949893287
TUFT1	0.051077665988070134
SNX27	0.05744441687491821
S100A10	0.04893034984405029
CRTC2	0.029321814238188432
RP11-422P24.12	0.08045926783793855
AQP10	0.09809297124784064
IL6R	0.0612588915748623
ADAR	0.07400416968817067
PMVK	0.051077665988070134
FLAD1	0.05087394336551756
EFNA1	0.0015077370603591967
KRTCAP2	0.02620232963708759
FAM189B	0.05744441687491821
SCAMP3	0.09322252932105528
DAP3	0.08978945197431248
SLC25A44	0.0896368905559942
MEF2D	0.00823323066757215
SH2D2A	0.08436772232301379
NTRK1	0.00953935409003952
ETV3	0.045184856580694335
RP11-71G12.1	0.030627460645737643
IFI16	0.03975015772240519
FCER1A	0.004899880024585398
SLAMF9	0.051299889556995534
PEA15	0.0015008330220518866
RP11-404F10.2	0.04417805147603482
PFDN2	0.03782261658956301
UFC1	0.050289566026690026
USP21	0.0979950708160856
FCGR2A	0.03992718482751725
RPS23P10	0.05381841655534567
FCGR2C	0.0795974677222034
FCGR3B	0.034395549552970216
FCGR2B	0.020167333270622322
ATF6	0.050214384227930633
RP11-466F5.3	0.025574674047821606
GPA33	0.07219673605626158
RP3-455J7.3	0.0046854900555382975
SCYL3	0.006230734389074033
TNFSF4	0.008841467170257244
RP11-296O14.2	0.0753886957816087
RP11-296O14.3	0.027418530708312405
PRDX6	0.07276678251741321
ZBTB37	0.009565456860846446
RC3H1	0.021016841248561468
KIAA0040	0.04992900186158916
RP11-195C7.1	0.045184856580694335
C1orf220	0.07219673605626158
RALGPS2	0.02712356761605731
TOR1AIP1	0.05744441687491821
ACBD6	0.07942135467881967
KIAA1614	0.0924221210946688
CACNA1E	0.0015219084754213815
LINC01344	0.007645311880542568
LINC00272	0.0465376122291927
RNASEL	0.033356167589104396
LINC01686	3.1162610084693585e-06
NPL	0.05818768068634484
GS1-115G20.1	0.07600380033933558
EDEM3	0.07653018279283151
FAM129A	0.0215385287094257
SWT1	0.038097063303125484
RP11-295K2.3	0.0701335434606247
RGS18	0.024483167420757287
RP11-142L4.2	0.0489225720971285
RGS2	0.09949821001260692
NEK7	0.07755390351516832
PTPRC	0.03194464324463894
ZNF281	0.05998447473932024
DDX59	0.05896404023117597
CSRP1	0.053050101989803984
PTPN7	0.027761105309708472
LGR6	0.006136272621052535
KLHL12	0.021919780725525584
HNRNPA1P59	0.07845942019096111
LINC01136	0.04515645076242776
BTG2	0.046215343293154076
ATP2B4	0.06999817546959547
RP11-430C7.4	0.007645311880542568
LRRN2	0.005724987999352986
RP11-430C7.5	0.04779617184844009
NUAK2	0.06100612336221473
IKBKE	0.012949864576629277
C1orf147	0.005907806344528908
EIF2D	0.0029285534698132317
RP11-357P18.3	0.0032192622313747207
CR1	0.007824030916402644
RP11-78B10.2	0.06796016302290998
LINC01717	0.03111837285621205
RP11-384C4.6	0.024183808320553883
ATF3	0.028020647913581893
RP11-338C15.3	0.0824132501245257
BATF3	0.004899880024585398
LYPLAL1	0.04878654541644913
MARC2	0.061435295164600244
LINC01352	0.0401845131469422
DUSP10	0.0922122186166963
SUSD4	0.06658319170906031
RP11-396C23.4	0.014500178100995418
C1orf35	0.013170454207844321
GUK1	0.06794605275801487
TRIM11	0.005414146582887872
RNF187	0.0215385287094257
FAM89A	0.09683376545482962
SPRTN	0.048762082453217004
EGLN1	0.06361128063758939
TSNAX	0.037821841886467644
DISC1	0.0011409499697540098
SIPA1L2	0.009669518312453655
RP11-443B7.2	0.0072723296649363145
RP11-443B7.1	0.005354645128325297
TOMM20	0.07847722002258195
ARID4B	0.06572912325213764
LYST	0.09446159552536422
ZBTB18	0.036259568553880336
RP11-439E19.9	0.08168394363523801
AHCTF1	0.024941524969535486
RP11-488L18.10	0.07628839721920085
GCSAML	0.07973016485487215
TSSC1	0.05644751704211069
KIDINS220	0.00953935409003952
MBOAT2	0.010004175712452663
ASAP2	0.09938285402403417
